DATE,Station,Latitude,Longitude,Elevation,TempMax,TempMin,Rainfall,RelativeHumidity,WindSpeed,CloudCoverage,BrightSunshine,NDVI
1/1/1984,5,22.2167,91.8,5.5,25.5516129,13.7,5.368421053,72.11111111,3.033333333,0.7,6.411130628,0.419787887
2/1/1984,5,22.2167,91.8,5.5,27.5862069,16.7,7.789473684,65.77777778,3.166666667,0.975,6.411130628,0.392654127
3/1/1984,5,22.2167,91.8,5.5,30.01612903,21.23333333,26.84210526,71.33333333,3.8,2.15,6.411130628,0.40602992
4/1/1984,5,22.2167,91.8,5.5,31.74333333,23.9,121.8421053,77.33333333,3.733333333,3.325,6.411130628,0.423728263
5/1/1984,5,22.2167,91.8,5.5,32.02258065,24.93333333,340.7368421,79.66666667,3.9,4.875,6.411130628,0.419813912
6/1/1984,5,22.2167,91.8,5.5,31.06333333,25.8,682.2631579,84.11111111,3.666666667,5.975,6.411130628,0.399900657
7/1/1984,5,22.2167,91.8,5.5,30.82258065,25.63333333,707.1052632,86.0,3.633333333,6.325,6.411130628,0.403608626
8/1/1984,5,22.2167,91.8,5.5,31.00645161,25.26666667,477.1578947,85.66666667,3.566666667,6.525,6.411130628,0.410278564
9/1/1984,5,22.2167,91.8,5.5,31.51,25.53333333,344.1578947,84.33333333,3.233333333,5.8,6.411130628,0.410595869
10/1/1984,5,22.2167,91.8,5.5,32.08709677,24.03333333,256.4736842,83.55555556,2.833333333,3.65,6.411130628,0.442657249
11/1/1984,5,22.2167,91.8,5.5,29.92333333,19.43333333,35.36842105,78.22222222,2.566666667,1.95,6.411130628,0.443827755
12/1/1984,5,22.2167,91.8,5.5,26.56129032,15.36666667,11.84210526,79.33333333,2.5,1.0,6.411130628,0.440793882
1/1/1985,5,22.2167,91.8,5.5,26.36774194,13.7,5.368421053,72.11111111,3.033333333,0.7,6.411130628,0.435409071
2/1/1985,5,22.2167,91.8,5.5,27.55714286,16.7,7.789473684,65.77777778,3.166666667,0.975,6.411130628,0.392097824
3/1/1985,5,22.2167,91.8,5.5,29.98709677,21.23333333,26.84210526,71.33333333,3.8,2.15,6.411130628,0.405474226
4/1/1985,5,22.2167,91.8,5.5,31.77666667,23.9,121.8421053,77.33333333,3.733333333,3.325,6.411130628,0.424366282
5/1/1985,5,22.2167,91.8,5.5,31.92580645,24.93333333,340.7368421,79.66666667,3.9,4.875,6.411130628,0.417961598
6/1/1985,5,22.2167,91.8,5.5,31.46333333,25.8,682.2631579,84.11111111,3.666666667,5.975,6.411130628,0.407556889
7/1/1985,5,22.2167,91.8,5.5,30.35483871,25.63333333,707.1052632,86.0,3.633333333,6.325,6.411130628,0.394655773
8/1/1985,5,22.2167,91.8,5.5,31.43870968,25.26666667,477.1578947,85.66666667,3.566666667,6.525,6.411130628,0.418552234
9/1/1985,5,22.2167,91.8,5.5,31.79666667,25.53333333,344.1578947,84.33333333,3.233333333,5.8,6.411130628,0.416082836
10/1/1985,5,22.2167,91.8,5.5,32.04516129,24.03333333,256.4736842,83.55555556,2.833333333,3.65,6.411130628,0.441854579
11/1/1985,5,22.2167,91.8,5.5,28.92333333,19.43333333,35.36842105,78.22222222,2.566666667,1.95,6.411130628,0.424687174
12/1/1985,5,22.2167,91.8,5.5,27.45806452,15.36666667,11.84210526,79.33333333,2.5,1.0,6.411130628,0.457958661
1/1/1986,5,22.2167,91.8,5.5,25.77741935,13.7,5.368421053,72.11111111,3.033333333,0.7,6.411130628,0.424109954
2/1/1986,5,22.2167,91.8,5.5,29.03571429,16.7,7.789473684,65.77777778,3.166666667,0.975,6.411130628,0.42039854
3/1/1986,5,22.2167,91.8,5.5,31.66129032,21.23333333,26.84210526,71.33333333,3.8,2.15,6.411130628,0.437519263
4/1/1986,5,22.2167,91.8,5.5,31.64,23.9,121.8421053,77.33333333,3.733333333,3.325,6.411130628,0.421750403
5/1/1986,5,22.2167,91.8,5.5,32.63225806,24.93333333,340.7368421,79.66666667,3.9,4.875,6.411130628,0.431483492
6/1/1986,5,22.2167,91.8,5.5,31.98666667,25.8,682.2631579,84.11111111,3.666666667,5.975,6.411130628,0.417573793
7/1/1986,5,22.2167,91.8,5.5,30.92258065,25.63333333,707.1052632,86.0,3.633333333,6.325,6.411130628,0.405522684
8/1/1986,5,22.2167,91.8,5.5,31.7516129,25.26666667,477.1578947,85.66666667,3.566666667,6.525,6.411130628,0.424541384
9/1/1986,5,22.2167,91.8,5.5,31.05666667,25.53333333,344.1578947,84.33333333,3.233333333,5.8,6.411130628,0.401918806
10/1/1986,5,22.2167,91.8,5.5,31.41935484,24.03333333,256.4736842,83.55555556,2.833333333,3.65,6.411130628,0.42987628
11/1/1986,5,22.2167,91.8,5.5,29.69666667,19.43333333,35.36842105,78.22222222,2.566666667,1.95,6.411130628,0.439489223
12/1/1986,5,22.2167,91.8,5.5,27.51935484,15.36666667,11.84210526,79.33333333,2.5,1.0,6.411130628,0.459131794
1/1/1987,5,22.2167,91.8,5.5,26.51290323,13.7,5.368421053,72.11111111,3.033333333,0.7,6.411130628,0.438187543
2/1/1987,5,22.2167,91.8,5.5,28.50714286,16.7,7.789473684,65.77777778,3.166666667,0.975,6.411130628,0.410281376
